h3_index,centroid_lat,centroid_lng,elev_m,slope_pct,hand_m,water_dist_m,building_count,is_land,elevation_score,slope_score,drainage_score,imperviousness
8875292e89fffff,5.658568,-0.074384,12.0,1.807,0.0,0.0,70,1,0.8649,0.6385,1.0,0.3597
8875292e8bfffff,5.651541,-0.071857,19.0,1.31,0.0,738.0,525,1,0.7759,0.7381,1.0,0.7217
8875292e8dfffff,5.66088,-0.08161,21.0,1.205,7.0,738.0,49,1,0.7486,0.759,0.4167,0.3094
8875292e91fffff,5.637488,-0.066805,32.0,1.928,16.0,830.0,41,1,0.5503,0.6144,0.0,0.2816
8875292e93fffff,5.630463,-0.064279,37.0,1.446,21.0,1659.0,663,1,0.4631,0.7107,0.0,0.773
8875292e95fffff,5.639801,-0.07403,25.0,1.567,9.0,738.0,320,1,0.6801,0.6866,0.25,0.6236
8875292e97fffff,5.632775,-0.071504,38.0,1.567,22.0,1327.0,24,1,0.442,0.6866,0.0,0.2155
8875292e99fffff,5.642202,-0.062105,23.0,1.808,15.0,830.0,245,1,0.7141,0.6385,0.0,0.5714
8875292e9bfffff,5.635176,-0.05958,34.0,1.667,18.0,1498.0,610,1,0.5168,0.6666,0.0,0.7586
8875292e9dfffff,5.644515,-0.069331,16.0,1.928,0.0,0.0,365,1,0.8137,0.6144,1.0,0.6504
8875292ea1fffff,5.653762,-0.09823,24.0,1.687,0.0,0.0,26,1,0.6959,0.6625,1.0,0.2237
8875292ea3fffff,5.646737,-0.095703,38.0,1.897,7.0,738.0,828,1,0.442,0.6207,0.4167,0.8496
8875292ea5fffff,5.656073,-0.105454,24.0,0.723,0.0,0.0,8,1,0.6959,0.8554,1.0,0.1322
8875292ea7fffff,5.649048,-0.102926,30.0,1.355,0.0,0.0,62,1,0.5881,0.729,1.0,0.3386
8875292ea9fffff,5.658477,-0.093533,19.0,0.953,0.0,0.0,0,1,0.7759,0.8095,1.0,0.0316
8875292eabfffff,5.651451,-0.091006,24.0,1.897,10.0,738.0,1046,1,0.6959,0.6207,0.1667,0.9234
8875292eadfffff,5.660788,-0.100757,27.0,0.953,0.0,0.0,1,1,0.6446,0.8095,1.0,0.0709
8875292eb1fffff,5.6374,-0.085952,35.0,1.761,0.0,0.0,726,1,0.5005,0.6478,1.0,0.8017
8875292eb3fffff,5.630375,-0.083426,37.0,0.964,2.0,830.0,385,1,0.4631,0.8071,0.8333,0.6595
8875292eb5fffff,5.639712,-0.093176,34.0,0.949,0.0,0.0,877,1,0.5168,0.8103,1.0,0.8702
8875292eb7fffff,5.632687,-0.090649,40.0,0.964,4.0,738.0,697,1,0.4047,0.8071,0.6667,0.7893
8875292eb9fffff,5.642113,-0.081255,22.0,1.761,0.0,0.0,400,1,0.7347,0.6478,1.0,0.6676
8875292ebbfffff,5.635088,-0.078729,32.0,1.205,10.0,830.0,40,1,0.5503,0.7589,0.1667,0.2763
8875292ebdfffff,5.644425,-0.088479,32.0,1.191,0.0,0.0,891,1,0.5503,0.7618,1.0,0.8755
8875292ec1fffff,5.670313,-0.072211,10.0,2.572,0.0,0.0,610,1,0.8817,0.4856,1.0,0.7586
8875292ec3fffff,5.663284,-0.069684,14.0,1.548,0.0,0.0,52,1,0.8434,0.6905,1.0,0.3161
8875292ec5fffff,5.672624,-0.079438,17.0,1.896,0.0,0.0,253,1,0.8008,0.6209,1.0,0.5785
8875292ec7fffff,5.665596,-0.076911,27.0,2.302,17.0,739.0,557,1,0.6446,0.5397,0.0,0.7352
8875292ec9fffff,5.67503,-0.06751,29.0,2.572,19.0,739.0,412,1,0.6073,0.4856,0.0,0.6767
8875292ecbfffff,5.668001,-0.064983,10.0,2.289,0.0,0.0,132,1,0.8817,0.5422,1.0,0.4387
8875292ecdfffff,5.677342,-0.074738,20.0,2.437,0.0,0.0,313,1,0.762,0.5127,1.0,0.6183
8875292ed1fffff,5.653944,-0.059931,5.0,0.964,0.0,0.0,100,1,0.9339,0.8072,1.0,0.3966
8875292ed3fffff,5.646916,-0.057405,13.0,1.928,10.0,739.0,410,1,0.8578,0.6144,0.1667,0.6748
8875292ed5fffff,5.656256,-0.067158,10.0,1.219,0.0,0.0,283,1,0.8817,0.7563,1.0,0.5996
8875292ed7fffff,5.649229,-0.064631,8.0,1.808,0.0,0.0,287,1,0.9071,0.6385,1.0,0.6034
8875292ed9fffff,5.65866,-0.05523,11.0,1.218,6.0,739.0,22,1,0.8712,0.7563,0.5,0.2074
8875292edbfffff,5.651631,-0.052704,3.0,1.446,0.0,0.0,307,1,0.9559,0.7108,1.0,0.6149
8875292eddfffff,5.660972,-0.062457,6.0,1.76,0.0,0.0,18,1,0.9248,0.648,1.0,0.1868
8875292ee1fffff,5.670219,-0.091363,36.0,1.76,17.0,1328.0,21,1,0.4842,0.6479,0.0,0.2031
8875292ee3fffff,5.663192,-0.088835,25.0,1.325,6.0,738.0,24,1,0.6801,0.7349,0.5,0.2155
8875292ee5fffff,5.672531,-0.098588,32.0,1.219,5.0,1328.0,54,1,0.5503,0.7562,0.5833,0.3204
8875292ee7fffff,5.665503,-0.09606,26.0,1.354,0.0,738.0,54,1,0.6633,0.7291,1.0,0.3204
8875292ee9fffff,5.674936,-0.086664,23.0,1.76,3.0,739.0,61,1,0.7141,0.6479,0.75,0.3348
8875292eebfffff,5.667908,-0.084137,31.0,1.896,14.0,739.0,163,1,0.5704,0.6209,0.0,0.4962
8875292eedfffff,5.677247,-0.09389,23.0,1.566,3.0,739.0,6,1,0.7141,0.6868,0.75,0.1169
8875292f13fffff,5.695828,-0.132544,39.0,0.948,0.0,840.0,636,1,0.4239,0.8104,1.0,0.7701
8875292f17fffff,5.698138,-0.139768,45.0,1.355,0.0,0.0,710,1,0.3348,0.7291,1.0,0.7979
8875292f33fffff,5.695729,-0.151684,54.0,1.687,0.0,738.0,10,1,0.2304,0.6626,1.0,0.1451
8875292f37fffff,5.698038,-0.158906,64.0,1.355,1.0,830.0,1,1,0.148,0.729,0.9167,0.0709
8875744b41fffff,5.506126,-0.102584,0.0,0.0,0.0,6950.0,0,0,0.0,1.0,1.0,0.0
8875744b45fffff,5.508439,-0.109797,0.0,0.0,0.0,6345.0,0,0,0.0,1.0,1.0,0.0
8875744b47fffff,5.501428,-0.107273,0.0,0.0,0.0,7169.0,0,0,0.0,1.0,1.0,0.0
8875744b49fffff,5.510824,-0.097894,0.0,0.0,0.0,6804.0,0,0,0.0,1.0,1.0,0.0
8875744b4bfffff,5.503812,-0.095371,0.0,0.0,0.0,7599.0,0,0,0.0,1.0,1.0,0.0
8875744b4dfffff,5.513138,-0.105108,0.0,0.0,0.0,6139.0,0,0,0.0,1.0,1.0,0.0
8875744b61fffff,5.506054,-0.121697,0.0,0.0,0.0,6151.0,0,0,0.0,1.0,1.0,0.0
8875744b65fffff,5.508367,-0.128909,0.0,0.0,0.0,5760.0,0,0,0.0,1.0,1.0,0.0
8875744b67fffff,5.501357,-0.126384,0.0,0.0,0.0,6568.0,0,0,0.0,1.0,1.0,0.0
8875744b69fffff,5.510752,-0.117009,0.0,0.0,0.0,5799.0,0,0,0.0,1.0,1.0,0.0
8875744b6bfffff,5.503741,-0.114485,0.0,0.0,0.0,6627.0,0,0,0.0,1.0,1.0,0.0
8875744b6dfffff,5.513065,-0.124222,0.0,0.0,0.0,5329.0,0,0,0.0,1.0,1.0,0.0
8875745805fffff,5.557844,-0.050956,0.0,0.0,0.0,5257.0,0,0,0.0,1.0,1.0,0.0
8875745821fffff,5.555453,-0.062873,0.0,0.0,0.0,4490.0,0,0,0.0,1.0,1.0,0.0
8875745823fffff,5.548435,-0.060349,0.0,0.0,0.0,5245.0,0,0,0.0,1.0,1.0,0.0
8875745825fffff,5.557767,-0.070093,0.0,0.0,0.0,3754.0,0,0,0.0,1.0,1.0,0.0
8875745827fffff,5.550749,-0.067569,0.0,0.0,0.0,4489.0,0,0,0.0,1.0,1.0,0.0
8875745829fffff,5.560158,-0.058177,0.0,0.0,0.0,4490.0,0,0,0.0,1.0,1.0,0.0
887574582bfffff,5.553139,-0.055653,0.0,0.0,0.0,5245.0,0,0,0.0,1.0,1.0,0.0
887574582dfffff,5.562472,-0.065397,0.0,0.0,0.0,3754.0,0,0,0.0,1.0,1.0,0.0
8875745831fffff,5.539103,-0.050607,0.0,0.0,0.0,6739.0,0,0,0.0,1.0,1.0,0.0
8875745835fffff,5.541418,-0.057826,0.0,0.0,0.0,5986.0,0,0,0.0,1.0,1.0,0.0
8875745837fffff,5.534401,-0.055303,0.0,0.0,0.0,6738.0,0,0,0.0,1.0,1.0,0.0
887574583dfffff,5.546121,-0.05313,0.0,0.0,0.0,5986.0,0,0,0.0,1.0,1.0,0.0
8875745861fffff,5.571884,-0.056003,0.0,0.0,0.0,3919.0,0,0,0.0,1.0,1.0,0.0
8875745863fffff,5.564864,-0.053479,0.0,0.0,0.0,4562.0,0,0,0.0,1.0,1.0,0.0
8875745865fffff,5.574197,-0.063224,0.0,0.0,0.0,3094.0,0,0,0.0,1.0,1.0,0.0
8875745867fffff,5.567178,-0.0607,0.0,0.0,0.0,3766.0,0,0,0.0,1.0,1.0,0.0
8875745869fffff,5.576591,-0.051305,0.0,0.0,0.0,3696.0,0,0,0.0,1.0,1.0,0.0
887574586dfffff,5.578904,-0.058527,0.0,0.0,0.0,3317.0,0,0,0.0,1.0,1.0,0.0
88757458a5fffff,5.508653,-0.052431,0.0,0.0,0.0,9212.0,0,0,0.0,1.0,1.0,0.0
8875745901fffff,5.571725,-0.094274,0.0,0.0,0.0,829.0,0,0,0.0,1.0,1.0,0.0
8875745903fffff,5.564707,-0.091749,0.0,0.0,0.0,1658.0,0,0,0.0,1.0,1.0,0.0
8875745905fffff,5.574037,-0.101492,0.0,1.668,0.0,737.0,348,1,0.9923,0.6663,1.0,0.636
8875745907fffff,5.567019,-0.098967,0.0,0.0,0.0,1326.0,0,0,0.0,1.0,1.0,0.0
8875745909fffff,5.57643,-0.08958,0.0,0.482,0.0,829.0,0,0,0.0,0.9035,1.0,0.0
887574590bfffff,5.569412,-0.087055,0.0,0.0,0.0,1496.0,0,0,0.0,1.0,1.0,0.0
887574590dfffff,5.578743,-0.096799,0.0,0.715,0.0,0.0,406,1,0.9923,0.857,1.0,0.6724
8875745911fffff,5.555376,-0.082006,0.0,0.0,0.0,3071.0,0,0,0.0,1.0,1.0,0.0
8875745913fffff,5.548359,-0.079482,0.0,0.0,0.0,3884.0,0,0,0.0,1.0,1.0,0.0
8875745915fffff,5.557689,-0.089224,0.0,0.0,0.0,2487.0,0,0,0.0,1.0,1.0,0.0
8875745917fffff,5.550672,-0.0867,0.0,0.0,0.0,3315.0,0,0,0.0,1.0,1.0,0.0
8875745919fffff,5.56008,-0.077312,0.0,0.0,0.0,2993.0,0,0,0.0,1.0,1.0,0.0
887574591bfffff,5.553063,-0.074788,0.0,0.0,0.0,3753.0,0,0,0.0,1.0,1.0,0.0
887574591dfffff,5.562394,-0.084531,0.0,0.0,0.0,2269.0,0,0,0.0,1.0,1.0,0.0
8875745921fffff,5.571644,-0.113402,8.0,1.81,0.0,1325.0,100,1,0.9071,0.6381,1.0,0.3966
8875745923fffff,5.564627,-0.110876,0.0,0.965,0.0,1978.0,0,0,0.0,0.8069,1.0,0.0
8875745925fffff,5.573956,-0.120618,22.0,2.654,10.0,839.0,172,1,0.7347,0.4691,0.1667,0.5057
8875745927fffff,5.566939,-0.118092,0.0,2.654,0.0,1496.0,2,1,0.9923,0.4691,1.0,0.0838
8875745929fffff,5.576349,-0.10871,14.0,1.689,8.0,737.0,706,1,0.8434,0.6622,0.3333,0.7941
887574592bfffff,5.569332,-0.106184,0.0,1.689,0.0,1325.0,0,0,0.0,0.6622,1.0,0.0
887574592dfffff,5.578661,-0.115927,23.0,1.81,8.0,737.0,678,1,0.7141,0.6381,0.3333,0.7807
8875745931fffff,5.555298,-0.101134,0.0,0.0,0.0,2651.0,0,0,0.0,1.0,1.0,0.0
8875745933fffff,5.548282,-0.098609,0.0,0.0,0.0,3393.0,0,0,0.0,1.0,1.0,0.0
8875745935fffff,5.557611,-0.108351,0.0,0.0,0.0,2651.0,0,0,0.0,1.0,1.0,0.0
8875745937fffff,5.550595,-0.105825,0.0,0.0,0.0,3285.0,0,0,0.0,1.0,1.0,0.0
8875745939fffff,5.560002,-0.096442,0.0,0.0,0.0,2084.0,0,0,0.0,1.0,1.0,0.0
887574593bfffff,5.552985,-0.093917,0.0,0.0,0.0,2882.0,0,0,0.0,1.0,1.0,0.0
887574593dfffff,5.562315,-0.103659,0.0,0.0,0.0,1978.0,0,0,0.0,1.0,1.0,0.0
8875745941fffff,5.588157,-0.087411,6.0,1.22,0.0,0.0,721,1,0.9248,0.756,1.0,0.8008
8875745943fffff,5.581137,-0.084886,0.0,0.724,0.0,829.0,0,0,0.0,0.8553,1.0,0.0
8875745945fffff,5.590469,-0.094631,10.0,1.668,0.0,0.0,761,1,0.8817,0.6664,1.0,0.8147
8875745947fffff,5.58345,-0.092106,4.0,0.724,0.0,0.0,413,1,0.944,0.8553,1.0,0.6782
8875745949fffff,5.592865,-0.082716,15.0,1.809,9.0,738.0,794,1,0.8261,0.6382,0.25,0.8305
887574594bfffff,5.585844,-0.080191,0.0,1.809,0.0,839.0,134,1,0.9923,0.6382,1.0,0.442
887574594dfffff,5.595177,-0.089937,10.0,2.034,0.0,0.0,586,1,0.8817,0.5933,1.0,0.7481
8875745951fffff,5.571804,-0.075141,0.0,0.0,0.0,2269.0,0,0,0.0,1.0,1.0,0.0
8875745953fffff,5.564785,-0.072617,0.0,0.0,0.0,2993.0,0,0,0.0,1.0,1.0,0.0
8875745955fffff,5.574118,-0.082361,0.0,0.0,0.0,1497.0,0,0,0.0,1.0,1.0,0.0
8875745957fffff,5.567099,-0.079836,0.0,0.0,0.0,2269.0,0,0,0.0,1.0,1.0,0.0
8875745959fffff,5.576511,-0.070445,0.0,0.0,0.0,2281.0,0,0,0.0,1.0,1.0,0.0
887574595bfffff,5.569491,-0.067921,0.0,0.0,0.0,2993.0,0,0,0.0,1.0,1.0,0.0
887574595dfffff,5.578824,-0.077666,0.0,0.0,0.0,1497.0,0,0,0.0,1.0,1.0,0.0
8875745961fffff,5.588074,-0.106544,19.0,1.668,4.0,737.0,1877,1,0.7759,0.6664,0.6667,0.9828
8875745963fffff,5.581055,-0.104018,6.0,1.568,0.0,0.0,1208,1,0.9248,0.6864,1.0,0.9559
8875745965fffff,5.590386,-0.113762,20.0,1.93,0.0,0.0,1176,1,0.762,0.614,1.0,0.9502
8875745967fffff,5.583368,-0.111236,15.0,1.311,0.0,0.0,1789,1,0.8261,0.7378,1.0,0.9808
8875745969fffff,5.592782,-0.101851,24.0,2.292,0.0,0.0,1031,1,0.6959,0.5417,1.0,0.9181
887574596bfffff,5.585762,-0.099325,5.0,2.292,0.0,0.0,1214,1,0.9339,0.5417,1.0,0.9569
887574596dfffff,5.595094,-0.10907,32.0,1.628,0.0,0.0,1023,1,0.5503,0.6745,1.0,0.9157
8875745981fffff,5.52261,-0.076604,0.0,0.0,0.0,6630.0,0,0,0.0,1.0,1.0,0.0
8875745983fffff,5.515596,-0.074081,0.0,0.0,0.0,7458.0,0,0,0.0,1.0,1.0,0.0
8875745985fffff,5.524924,-0.08382,0.0,0.0,0.0,6154.0,0,0,0.0,1.0,1.0,0.0
8875745987fffff,5.51791,-0.081297,0.0,0.0,0.0,6979.0,0,0,0.0,1.0,1.0,0.0
8875745989fffff,5.527311,-0.071911,0.0,0.0,0.0,6348.0,0,0,0.0,1.0,1.0,0.0
887574598bfffff,5.520296,-0.069388,0.0,0.0,0.0,7172.0,0,0,0.0,1.0,1.0,0.0
887574598dfffff,5.529625,-0.079128,0.0,0.0,0.0,5801.0,0,0,0.0,1.0,1.0,0.0
8875745991fffff,5.506268,-0.064342,0.0,0.0,0.0,8823.0,0,0,0.0,1.0,1.0,0.0
8875745995fffff,5.508582,-0.071558,0.0,0.0,0.0,8287.0,0,0,0.0,1.0,1.0,0.0
8875745997fffff,5.501569,-0.069035,0.0,0.0,0.0,9115.0,0,0,0.0,1.0,1.0,0.0
8875745999fffff,5.510967,-0.059648,0.0,0.0,0.0,8585.0,0,0,0.0,1.0,1.0,0.0
887574599bfffff,5.503953,-0.057126,0.0,0.0,0.0,9404.0,0,0,0.0,1.0,1.0,0.0
887574599dfffff,5.513282,-0.066865,0.0,0.0,0.0,7997.0,0,0,0.0,1.0,1.0,0.0
88757459a1fffff,5.522537,-0.095728,0.0,0.0,0.0,5983.0,0,0,0.0,1.0,1.0,0.0
88757459a3fffff,5.515524,-0.093204,0.0,0.0,0.0,6735.0,0,0,0.0,1.0,1.0,0.0
88757459a5fffff,5.52485,-0.102942,0.0,0.0,0.0,5243.0,0,0,0.0,1.0,1.0,0.0
88757459a7fffff,5.517837,-0.100418,0.0,0.0,0.0,6017.0,0,0,0.0,1.0,1.0,0.0
88757459a9fffff,5.527237,-0.091036,0.0,0.0,0.0,5763.0,0,0,0.0,1.0,1.0,0.0
88757459abfffff,5.520223,-0.088512,0.0,0.0,0.0,6571.0,0,0,0.0,1.0,1.0,0.0
88757459adfffff,5.52955,-0.098252,0.0,0.0,0.0,5254.0,0,0,0.0,1.0,1.0,0.0
88757459b1fffff,5.506197,-0.083466,0.0,0.0,0.0,8201.0,0,0,0.0,1.0,1.0,0.0
88757459b5fffff,5.508511,-0.09068,0.0,0.0,0.0,7503.0,0,0,0.0,1.0,1.0,0.0
88757459b7fffff,5.501499,-0.088157,0.0,0.0,0.0,8283.0,0,0,0.0,1.0,1.0,0.0
88757459b9fffff,5.510896,-0.078774,0.0,0.0,0.0,7804.0,0,0,0.0,1.0,1.0,0.0
88757459bbfffff,5.503883,-0.076251,0.0,0.0,0.0,8629.0,0,0,0.0,1.0,1.0,0.0
88757459bdfffff,5.51321,-0.085989,0.0,0.0,0.0,7385.0,0,0,0.0,1.0,1.0,0.0
88757459c1fffff,5.539029,-0.06974,0.0,0.0,0.0,5336.0,0,0,0.0,1.0,1.0,0.0
88757459c3fffff,5.532013,-0.067217,0.0,0.0,0.0,6142.0,0,0,0.0,1.0,1.0,0.0
88757459c5fffff,5.541342,-0.076958,0.0,0.0,0.0,4703.0,0,0,0.0,1.0,1.0,0.0
88757459c7fffff,5.534326,-0.074434,0.0,0.0,0.0,5524.0,0,0,0.0,1.0,1.0,0.0
88757459c9fffff,5.543732,-0.065045,0.0,0.0,0.0,5245.0,0,0,0.0,1.0,1.0,0.0
88757459cbfffff,5.536715,-0.062522,0.0,0.0,0.0,6019.0,0,0,0.0,1.0,1.0,0.0
88757459cdfffff,5.546045,-0.072264,0.0,0.0,0.0,4538.0,0,0,0.0,1.0,1.0,0.0
88757459d1fffff,5.522683,-0.057476,0.0,0.0,0.0,7603.0,0,0,0.0,1.0,1.0,0.0
88757459d3fffff,5.515667,-0.054953,0.0,0.0,0.0,8405.0,0,0,0.0,1.0,1.0,0.0
88757459d5fffff,5.524997,-0.064693,0.0,0.0,0.0,6953.0,0,0,0.0,1.0,1.0,0.0
88757459d7fffff,5.517982,-0.062171,0.0,0.0,0.0,7768.0,0,0,0.0,1.0,1.0,0.0
88757459d9fffff,5.527384,-0.05278,0.0,0.0,0.0,7506.0,0,0,0.0,1.0,1.0,0.0
88757459dbfffff,5.520368,-0.050258,0.0,0.0,0.0,8286.0,0,0,0.0,1.0,1.0,0.0
88757459ddfffff,5.529698,-0.059999,0.0,0.0,0.0,6807.0,0,0,0.0,1.0,1.0,0.0
88757459e1fffff,5.538953,-0.088868,0.0,0.0,0.0,4511.0,0,0,0.0,1.0,1.0,0.0
88757459e3fffff,5.531938,-0.086344,0.0,0.0,0.0,5332.0,0,0,0.0,1.0,1.0,0.0
88757459e5fffff,5.541267,-0.096085,0.0,0.0,0.0,4168.0,0,0,0.0,1.0,1.0,0.0
88757459e7fffff,5.534252,-0.09356,0.0,0.0,0.0,4960.0,0,0,0.0,1.0,1.0,0.0
88757459e9fffff,5.543656,-0.084175,0.0,0.0,0.0,4144.0,0,0,0.0,1.0,1.0,0.0
88757459ebfffff,5.53664,-0.081651,0.0,0.0,0.0,4973.0,0,0,0.0,1.0,1.0,0.0
88757459edfffff,5.545969,-0.091393,0.0,0.0,0.0,3693.0,0,0,0.0,1.0,1.0,0.0
8875745b01fffff,5.604679,-0.061403,8.0,1.762,6.0,738.0,14,1,0.9071,0.6477,0.5,0.1657
8875745b03fffff,5.597656,-0.058878,0.0,2.501,0.0,1327.0,0,0,0.0,0.4998,1.0,0.0
8875745b05fffff,5.606992,-0.068626,9.0,2.439,0.0,0.0,9,1,0.8946,0.5121,1.0,0.1398
8875745b07fffff,5.599969,-0.066101,21.0,2.532,12.0,829.0,11,1,0.7486,0.4936,0.0,0.1513
8875745b09fffff,5.609389,-0.056704,2.0,2.439,0.0,0.0,0,0,0.0,0.5123,1.0,0.0
8875745b0bfffff,5.602365,-0.054179,0.0,0.953,0.0,829.0,0,0,0.0,0.8095,1.0,0.0
8875745b0dfffff,5.611702,-0.063928,9.0,1.786,0.0,0.0,1,1,0.8946,0.6427,1.0,0.0709
8875745b15fffff,5.590634,-0.056353,0.0,0.0,0.0,2086.0,0,0,0.0,1.0,1.0,0.0
8875745b17fffff,5.583612,-0.053829,0.0,0.0,0.0,2884.0,0,0,0.0,1.0,1.0,0.0
8875745b1dfffff,5.595342,-0.051655,0.0,0.0,0.0,1659.0,0,0,0.0,1.0,1.0,0.0
8875745b21fffff,5.604595,-0.080545,24.0,1.084,8.0,738.0,191,1,0.6959,0.7832,0.3333,0.5235
8875745b23fffff,5.597573,-0.07802,27.0,2.263,11.0,1326.0,27,1,0.6446,0.5474,0.0833,0.228
8875745b25fffff,5.606907,-0.087767,29.0,2.169,16.0,738.0,825,1,0.6073,0.5662,0.0,0.8467
8875745b27fffff,5.599886,-0.085241,25.0,2.034,15.0,738.0,991,1,0.6801,0.5933,0.0,0.9109
8875745b29fffff,5.609305,-0.075849,16.0,1.326,0.0,0.0,9,1,0.8137,0.7347,1.0,0.1398
8875745b2bfffff,5.602282,-0.073323,27.0,2.439,18.0,738.0,64,1,0.6446,0.5121,0.0,0.3439
8875745b2dfffff,5.611617,-0.083071,25.0,1.072,0.0,0.0,493,1,0.6801,0.7856,1.0,0.7107
8875745b31fffff,5.588239,-0.068273,0.0,1.072,0.0,2086.0,0,0,0.0,0.7856,1.0,0.0
8875745b33fffff,5.581218,-0.065749,0.0,0.0,0.0,2518.0,0,0,0.0,1.0,1.0,0.0
8875745b35fffff,5.590552,-0.075495,9.0,2.171,3.0,1345.0,314,1,0.8946,0.5659,0.75,0.6197
8875745b37fffff,5.583531,-0.07297,0.0,1.085,0.0,1679.0,0,0,0.0,0.7829,1.0,0.0
8875745b39fffff,5.592947,-0.063576,0.0,2.532,0.0,1659.0,0,0,0.0,0.4936,1.0,0.0
8875745b3bfffff,5.585925,-0.061051,0.0,0.0,0.0,2488.0,0,0,0.0,1.0,1.0,0.0
8875745b3dfffff,5.59526,-0.070798,8.0,2.291,0.0,1326.0,0,1,0.9071,0.5418,1.0,0.0316
8875745b41fffff,5.621125,-0.054529,22.0,1.896,20.0,1327.0,687,1,0.7347,0.6207,0.0,0.7854
8875745b43fffff,5.6141,-0.052004,20.0,2.439,18.0,738.0,574,1,0.762,0.5123,0.0,0.7414
8875745b45fffff,5.623438,-0.061754,25.0,2.049,16.0,1327.0,531,1,0.6801,0.5902,0.0,0.7251
8875745b47fffff,5.616413,-0.059229,8.0,2.049,0.0,738.0,304,1,0.9071,0.5902,1.0,0.6121
8875745b4dfffff,5.62815,-0.057054,29.0,1.219,20.0,1981.0,703,1,0.6073,0.7562,0.0,0.7921
8875745b61fffff,5.621039,-0.073677,31.0,1.491,11.0,738.0,269,1,0.5704,0.7019,0.0833,0.592
8875745b63fffff,5.614015,-0.071151,24.0,1.808,8.0,738.0,74,1,0.6959,0.6383,0.3333,0.3659
8875745b65fffff,5.623351,-0.0809,29.0,1.085,7.0,738.0,188,1,0.6073,0.783,0.4167,0.5196
8875745b67fffff,5.616328,-0.078374,20.0,1.491,0.0,0.0,112,1,0.762,0.7019,1.0,0.4143
8875745b69fffff,5.62575,-0.068978,37.0,1.808,17.0,1476.0,243,1,0.4631,0.6384,0.0,0.569
8875745b6bfffff,5.618726,-0.066453,22.0,1.808,13.0,830.0,396,1,0.7347,0.6384,0.0,0.6638
8875745b6dfffff,5.628063,-0.076202,32.0,0.813,12.0,1327.0,125,1,0.5503,0.8374,0.0,0.4258
8875768001fffff,5.554402,-0.311198,4.0,1.225,0.0,0.0,763,1,0.944,0.755,1.0,0.8161
8875768003fffff,5.547398,-0.308666,5.0,0.362,0.0,0.0,1122,1,0.9339,0.9275,1.0,0.9406
8875768005fffff,5.556709,-0.318398,6.0,1.912,0.0,0.0,457,1,0.9248,0.6177,1.0,0.6954
8875768007fffff,5.549704,-0.315866,5.0,0.478,0.0,0.0,567,1,0.9339,0.9044,1.0,0.7375
8875768009fffff,5.559101,-0.306529,13.0,14.152,0.0,0.0,870,1,0.8578,0.0,1.0,0.8669
887576800bfffff,5.552095,-0.303998,4.0,1.087,0.0,735.0,568,1,0.944,0.7826,1.0,0.739
887576800dfffff,5.561407,-0.31373,13.0,7.731,0.0,0.0,984,1,0.8578,0.0,1.0,0.91
8875768011fffff,5.538086,-0.298935,2.0,0.136,0.0,0.0,142,1,0.9665,0.9728,1.0,0.4583
8875768013fffff,5.531083,-0.296405,3.0,0.272,2.0,735.0,0,1,0.9559,0.9455,0.8333,0.0316
8875768015fffff,5.540393,-0.306135,2.0,0.362,0.0,0.0,813,1,0.9665,0.9275,1.0,0.841
8875768017fffff,5.53339,-0.303604,1.0,0.239,0.0,735.0,312,1,0.9775,0.9522,1.0,0.6169
8875768019fffff,5.542783,-0.294266,1.0,0.239,0.0,735.0,4,1,0.9775,0.9522,1.0,0.1011
887576801bfffff,5.535779,-0.291735,1.0,0.272,0.0,0.0,0,0,0.0,0.9456,1.0,0.0
887576801dfffff,5.545091,-0.301466,3.0,0.239,0.0,0.0,591,1,0.9559,0.9522,1.0,0.7495
8875768021fffff,5.554317,-0.330263,6.0,2.178,0.0,0.0,578,1,0.9248,0.5644,1.0,0.7443
8875768023fffff,5.547314,-0.327731,9.0,4.35,0.0,0.0,779,1,0.8946,0.13,1.0,0.8238
8875768025fffff,5.556623,-0.337462,11.0,0.725,0.0,0.0,780,1,0.8712,0.855,1.0,0.8252
8875768027fffff,5.54962,-0.334929,9.0,1.571,3.0,734.0,793,1,0.8946,0.6858,0.75,0.8295
8875768029fffff,5.559015,-0.325597,22.0,2.586,16.0,735.0,580,1,0.7347,0.4828,0.0,0.7462
887576802bfffff,5.552011,-0.323065,9.0,1.571,0.0,735.0,604,1,0.8946,0.6859,1.0,0.7548
887576802dfffff,5.561321,-0.332796,7.0,1.792,0.0,735.0,918,1,0.9167,0.6416,1.0,0.887
8875768031fffff,5.538004,-0.318001,2.0,5.138,0.0,0.0,621,1,0.9665,0.0,1.0,0.7615
8875768033fffff,5.531001,-0.31547,2.0,0.358,1.0,734.0,429,1,0.9665,0.9283,0.9167,0.6858
8875768035fffff,5.540311,-0.325199,45.0,5.582,41.0,734.0,469,1,0.3348,0.0,0.0,0.7031
8875768037fffff,5.533308,-0.322667,5.0,5.616,0.0,0.0,476,1,0.9339,0.0,1.0,0.7059
8875768039fffff,5.5427,-0.313334,3.0,0.272,0.0,0.0,910,1,0.9559,0.9456,1.0,0.8817
887576803bfffff,5.535697,-0.310803,2.0,0.121,0.0,735.0,818,1,0.9665,0.9758,1.0,0.8439
887576803dfffff,5.545007,-0.320533,4.0,5.582,0.0,0.0,660,1,0.944,0.0,1.0,0.772
8875768041fffff,5.570806,-0.304392,25.0,11.112,8.0,735.0,459,1,0.6801,0.0,0.3333,0.6968
